modelName;gateways;flowNodes;sequenceFlows;flowElements
e001.bpmn;2;15;14;29
e002.bpmn;2;14;13;27
e020.bpmn;6;35;34;69
credit-scoring-asynchronous.bpmn;4;19;19;38
credit-scoring-synchronous.bpmn;4;16;16;32
dispatch-of-goods.bpmn;8;17;20;37
recourse.bpmn;5;26;26;52
self-service-restaurant.bpmn;1;30;28;58
